Month,Payment_Type,Trip_Count,Share_Pct
2024-01,Cash,117432,28.33
2024-01,Credit Card,156488,37.75
2024-01,Dispute,103,0.02
2024-01,Mobile,64133,15.47
2024-01,No Charge,190,0.05
2024-01,Prcard,53874,13.0
2024-01,Unknown,22334,5.39
2024-02,Cash,119172,27.76
2024-02,Credit Card,164077,38.22
2024-02,Dispute,112,0.03
2024-02,Mobile,63268,14.74
2024-02,No Charge,306,0.07
2024-02,Prcard,59008,13.74
2024-02,Unknown,23382,5.45
2024-03,Cash,140909,27.64
2024-03,Credit Card,197926,38.83
2024-03,Dispute,167,0.03
2024-03,Mobile,81945,16.07
2024-03,No Charge,621,0.12
2024-03,Prcard,63249,12.41
2024-03,Unknown,24968,4.9
2024-04,Cash,143695,27.03
2024-04,Credit Card,211486,39.78
2024-04,Dispute,168,0.03
2024-04,Mobile,91332,17.18
2024-04,No Charge,589,0.11
2024-04,Prcard,61358,11.54
2024-04,Unknown,22966,4.32
2024-05,Cash,159570,26.42
2024-05,Credit Card,252143,41.75
2024-05,Dispute,185,0.03
2024-05,Mobile,106244,17.59
2024-05,No Charge,931,0.15
2024-05,Prcard,63614,10.53
2024-05,Unknown,21268,3.52
2024-06,Cash,156605,26.37
2024-06,Credit Card,250747,42.22
2024-06,Dispute,223,0.04
2024-06,Mobile,107869,18.16
2024-06,No Charge,1188,0.2
2024-06,Prcard,59034,9.94
2024-06,Unknown,18178,3.06
2024-07,Cash,153919,28.82
2024-07,Credit Card,214223,40.11
2024-07,Dispute,273,0.05
2024-07,Mobile,80770,15.12
2024-07,No Charge,1290,0.24
2024-07,Prcard,64004,11.98
2024-07,Unknown,19676,3.68
2024-08,Cash,156147,28.25
2024-08,Credit Card,227594,41.17
2024-08,Dispute,255,0.05
2024-08,Mobile,82764,14.97
2024-08,No Charge,1342,0.24
2024-08,Prcard,64244,11.62
2024-08,Unknown,20430,3.7
2024-09,Cash,151951,27.53
2024-09,Credit Card,231276,41.89
2024-09,Dispute,261,0.05
2024-09,Mobile,82211,14.89
2024-09,No Charge,1427,0.26
2024-09,Prcard,64809,11.74
2024-09,Unknown,20105,3.64
2024-10,Cash,158857,27.06
2024-10,Credit Card,243001,41.39
2024-10,Dispute,527,0.09
2024-10,Mobile,91094,15.52
2024-10,No Charge,1450,0.25
2024-10,Prcard,70173,11.95
2024-10,Unknown,21939,3.74
2024-11,Cash,140963,26.59
2024-11,Credit Card,216173,40.78
2024-11,Dispute,344,0.06
2024-11,Mobile,86277,16.28
2024-11,No Charge,1335,0.25
2024-11,Prcard,64345,12.14
2024-11,Prepaid,4,0.0
2024-11,Unknown,20654,3.9
2024-12,Cash,138999,28.08
2024-12,Credit Card,174525,35.25
2024-12,Dispute,273,0.06
2024-12,Mobile,95663,19.32
2024-12,No Charge,1364,0.28
2024-12,Prcard,63550,12.84
2024-12,Unknown,20675,4.18
